system;sector;region;grid
Beta Rhama;Dalchon;Outer Rim Territories;R-17
Beledeen;;Colonies;K-13
Betal;;Wild Space;J-5
Belgaroth;;Core Worlds;K-13
Betha;Corva;Outer Rim Territories;P-4
Belial;Sanbra;Outer Rim Territories;N-17
Bethal;Tapani;Colonies;L-13
Belkadan;Dalonbian;Outer Rim Territories;L-1
Bethars;Emmo;Core Worlds;M-12
Belladoon;Myto;Outer Rim Territories;K-3
Betolio;Tapani;Colonies;L-13
Bellassa;;Core Worlds;M-11
Betshish;Gordian Reach;Outer Rim Territories;P-5
Bellis;Demetras;Outer Rim Territories;P-7
Bettel;Javin (Yarith);Outer Rim Territories;K-18
Belloria;Seswenna;Outer Rim Territories;M-18
Betthanie;Wornal;Mid Rim;K-16
Belnar;Belnar;Colonies;M-9
Bettok;Velcar;Outer Rim Territories;J-4
Belovia;Ombakond;Expansion Region;P-12
Bevell;;Inner Rim;L-8
Belsavis;Bozhnee;Outer Rim Territories;L-18
Bevin;Rolion;Outer Rim Territories;Q-6
Belshar Othacuu;Belshar;Mid Rim;J-7
Bextar;Velcar;Outer Rim Territories;J-4
Belsmuth;Belsmuth;Outer Rim Territories;O-6
Bezha;;Colonies;N-10
Belthu;Demetras;Outer Rim Territories;O-7
Bezim;Vorc;Mid Rim;J-7
Beltire;Narrant;Mid Rim;J-17
Beznaz;Quiberon;Outer Rim Territories;T-15
Beltrix;;Inner Rim;M-14
Bhargebba;Esstran (Sith Worlds);Outer Rim Territories;R-4
Bheriz;Bheriz;Outer Rim Territories;U-10
Bogano;Mieru'kar;Outer Rim Territories;N-3
Bhuna Sound;Yushan;Mid Rim;K-17
Bogden;;Inner Rim;M-8
Bianas;Tapani;Colonies;L-13
Bogo Rai;;Unknown Regions;E-8
Bid'jerma;Prefsbelt;Outer Rim Territories;J-5
Bogoa;Immerian Outback;Expansion Region;N-14
Biewa;Corporate Sector;Outer Rim Territories;S-4
Boiyuh;;Colonies;J-9
Biitu;Cassander (Tadrin);Outer Rim Territories;K-5
Bolad;Tharin;Outer Rim Territories;S-8
Biivren;Biivren;Expansion Region;P-9
Bolbotarp;Corellian;Core Worlds;M-11
Bilbringi;;Inner Rim;J-8
Boldavia;;Expansion Region;I-9
Bilios;Tapani;Colonies;L-13
Boledge;;Inner Rim;N-12
Billaron;Chitarghar;Expansion Region;K-15
Bolenia;;Core Worlds;K-9
Bilzen;;Wild Space;U-12
Boltiga;;Colonies;M-13
Bimin Three;Majoor;Expansion Region;N-15
Boltrunia;Baxel;Outer Rim Territories;U-11
Bimmiel;Kanz;Outer Rim Territories;N-4
Bomis Koori;Wornal;Mid Rim;K-16
Bimmisaari;Halla;Mid Rim;R-9
Bomodon;Churba;Mid Rim;O-15
Binaros;Kathol;Outer Rim Territories;M-21
Bompreil;Demetras;Outer Rim Territories;P-7
Binquaros;Ciutric;Outer Rim Territories;N-5
Bonadan;Corporate Sector;Outer Rim Territories;S-3
Biravia;Venaarian;Mid Rim;O-7
Boneworld, The;Toblain;Outer Rim Territories;N-18
Birba;;Deep Core;M-10
Bontormia;Bortele;Mid Rim;R-8
Birgis;Dalonbian;Outer Rim Territories;M-3
Boonta;Suolriep;Outer Rim Territories;S-8
Birix;Bryx;Mid Rim;R-8
Boordii;Sumitra;Expansion Region;N-7
Birjis;Dalchon;Outer Rim Territories;R-17
Boosodia;;Inner Rim;N-8
Birren;;Inner Rim;O-10
Bootana Shagplan;;Hutt Space;S-10
Birsingrial;;Core Worlds;L-10
Boothi;Abrion;Outer Rim Territories;S-15
Birukay;(Gardaji);Outer Rim Territories;M-1
Boranall;Doldur;Mid Rim;P-15
Bisellia;Clacis;Outer Rim Territories;K-4
Boranda;Manda;Mid Rim;R-14
Biskar;;Inner Rim;K-14
Borao;;Inner Rim;M-14
Bissillirus;Trax;Mid Rim;Q-10
Borcorash;Weneen;Outer Rim Territories;N-6
Bith;;Core Worlds;L-13
Borga;Yminis;Outer Rim Territories;S-14
Bitmus Cloud;Wazta;Outer Rim Territories;J-18
Boriin;;Inner Rim;N-14
Bittelari Cluster;Fath;Outer Rim Territories;K-6
Borkeen;Belsmuth;Outer Rim Territories;O-6
Bivoli;;Inner Rim;L-15
Borkyne;Bes Ber Bikade;Expansion Region;L-15
Bizikia;Kwymar;Outer Rim Territories;P-4
Borlax;Jidlor Marches;Mid Rim;J-16
Black Bantha;;Inner Rim;K-8
Borleias;;Colonies;K-9
Black Delve, The;Har Worlds;Expansion Region;J-16
Borloria;Dentari;Expansion Region;O-8
Black Hole of Nakat;;Inner Rim;N-7
Borlov;Tunka;Outer Rim Territories;J-19
Black Hole of Quintas;Kriz;Outer Rim Territories;J-19
Bormea;Bormea;Core Worlds;L-9
Black Nebula;;Colonies;M-12
Bormter;;Wild Space;H-14
Black Widow Nebula;Calaron;Outer Rim Territories;T-9
Bormus;Dustig;Mid Rim;N-16
Blackfel;Greater Plooriod;Expansion Region;M-7
Boro-borosa;Senex;Mid Rim;L-18
Blacktar Cyst;Oktos;Mid Rim;R-12
Bororn;Rseik;Outer Rim Territories;N-20
Blair Cluster;Airam;Outer Rim Territories;L-20
Borosk;Prefsbelt;Outer Rim Territories;K-5
Blarrum;Mayagil;Outer Rim Territories;N-18
Bortele Cluster;Bortele;Mid Rim;R-8
Blathar;Yucrales;Mid Rim;R-15
Bortras;Brema (Reithcas);Outer Rim Territories;M-18
Blenjeel;Dufilvian;Mid Rim;Q-15
Boruga;;Core Worlds;L-10
Bleuf;;Core Worlds;L-13
Bos-Una;;Inner Rim;J-14
Blimph;Kastolar;Mid Rim;Q-10
Bosch;;Core Worlds;K-10
Blood Nest;Halori;Mid Rim;P-7
Bosph;Bosph;Outer Rim Territories;Q-3
Bloxia;;Wild Space;I-7
Bosthirda;Esstran (Sith Worlds);Outer Rim Territories;R-5
Blutopia;Vensensor;Expansion Region;K-16
Botajef;Belsmuth;Outer Rim Territories;O-6
Blyte;Tapani;Colonies;L-13
Bothawui;Bothan;Mid Rim;R-14
Bnach;Calaron;Outer Rim Territories;T-9
Bothsoliman;Hollan;Mid Rim;M-7
Bnar;Braxant;Outer Rim Territories;K-3
Botor;Botor Enclave;Core Worlds;K-12
Boden;Videnda;Outer Rim Territories;M-18
Boudolayz;;Colonies;N-12
Bodoria;Andirma;Expansion Region;L-15
Bovo Yagen;Kailion;Expansion Region;O-13
Bodrin;Elrood;Outer Rim Territories;M-20
Bowane Nebula;Tungra (Fand);Outer Rim Territories;K-18
Bofa;Steniplis;Outer Rim Territories;M-18
Boxer Point Station;Prackla;Expansion Region;O-8
Boz Pity;Halla;Mid Rim;S-9
Buamlon Central;Esstran;Outer Rim Territories;Q-4
Boztrok;Aparo;Outer Rim Territories;R-3
Bubble of the Lost;;Wild Space;O-3
Bpfassh;Sluis;Outer Rim Territories;M-19
Buchich;Calamari;Outer Rim Territories;U-6
Bracca;Lantillian;Mid Rim;P-9
Budpock;Meridian;Outer Rim Territories;R-7
Braccio;;Wild Space;I-5
Bulano;;Core Worlds;M-10
Brachi;Sertar;Outer Rim Territories;R-5
Bundil;Ferra;Outer Rim Territories;S-16
Brachnis Chorios;Meridian;Outer Rim Territories;R-7
Bundim;Trax;Mid Rim;Q-10
Brackna;Doldur;Mid Rim;P-15
Bunduki;Pacanth Reach;Outer Rim Territories;H-16
Bracront;Tarabba;Outer Rim Territories;M-19
Bunka;Illisurevimurasi;Outer Rim Territories;Q-4
Bragkis;Belderone;Outer Rim Territories;R-6
Buoyant;;Inner Rim;J-14
Bramior;;Inner Rim;M-9
Burna;Cademimu;Outer Rim Territories;L-6
Branteez;Tolonda;Outer Rim Territories;Q-17
Burnin Konn;Javin (Anoat);Outer Rim Territories;K-18
Brask Oto;;Unknown Regions;H-7
Burnsi;Dustig;Mid Rim;N-16
Bravais;;Inner Rim;O-9
Bursant;Taldot;Mid Rim;Q-9
Bravis;Spadja;Outer Rim Territories;R-5
Burska;;Mid Rim;I-7
Bray;Piryn Shar;Expansion Region;K-16
Bursoll;;Wild Space;H-17
Breeka;Cadavine;Outer Rim Territories;P-17
Burundang;Harron;Expansion Region;O-11
Brella Temior;Barma;Colonies;M-9
Buruunin;Atravis;Outer Rim Territories;L-19
Brendok;;Wild Space;Q-2
Byblos;;Colonies;M-12
Brentaal;Bormea;Core Worlds;L-9
Byllura;Grumani;Outer Rim Territories;N-17
Bresallis;Cadma;Outer Rim Territories;T-8
Bynarria;Lantillian;Mid Rim;P-8
Bresan;Kathol;Outer Rim Territories;M-21
Byrnum Maw;;Inner Rim;L-8
Breshig;Mandalore;Outer Rim Territories;O-7
Byrsym;Paqwepori;Mid Rim;P-15
Breshkall;Khuiumin;Outer Rim Territories;O-19
Byss;;Deep Core;K-11
Bresnia;Tandon;Mid Rim;Q-14
C-Foroon;Arkanis;Outer Rim Territories;R-16
Breta Yaga;Mieru'kar;Outer Rim Territories;O-3
Caamas;;Core Worlds;M-9
Bretta;Ojoster;Outer Rim Territories;N-7
Caaraz;Stensen;Outer Rim Territories;H-17
Brevost;Brevost;Expansion Region;O-15
Caarimon;Meridian;Outer Rim Territories;R-7
Bri'ahl;Bri'ahl;Outer Rim Territories;I-17
Caarsin Station;Lannik Wilds;Mid Rim;R-13
Bri'n;Lothal;Outer Rim Territories;U-7
Cabarria;;Colonies;M-13
Bridin Anchorage;Portmoak;Outer Rim Territories;P-18
Cadannia;Msst;Mid Rim;P-7
Brield;;Colonies;M-12
Cademimu;Cademimu;Outer Rim Territories;M-6
Brightday;;Inner Rim;K-8
Cadinth;Allied Tion;Outer Rim Territories;S-6
Brigia;Tion Hegemony;Outer Rim Territories;T-6
Cadma;Centrality;Outer Rim Territories;T-8
Brink Station;;Wild Space;O-3
Cadomai;Aparo (Catarlo);Outer Rim Territories;R-3
Brint-wo;Koradin;Outer Rim Territories;I-18
Cal-Seti;Torranix;Core Worlds;K-10
Brintooin;Seswenna;Outer Rim Territories;M-18
Calabar;;Core Worlds;L-9
Briston;Shelsha;Colonies;M-9
Calabosh;Arc d'Stot;Expansion Region;K-15
Britaxis Minor;;Inner Rim;O-11
Calast;Grohl;Outer Rim Territories;R-16
Brix;;Colonies;N-10
Calcoraan;;Inner Rim;O-10
Brochiib;Trianii Space*;Wild Space;S-3
Calderos Station;Bryx;Mid Rim;R-8
Brodo Asogi;Perinn;Outer Rim Territories;J-4
Caldoni;;Core Worlds;M-12
Brodogon;Bozhnee;Outer Rim Territories;L-18
Caldra Prime;Ado;Mid Rim;M-17
Broest;;Core Worlds;L-10
Caldra Tertius;Ado;Mid Rim;M-17
Brolsam;Kathol;Outer Rim Territories;M-21
Calfa;Hapes Cluster;Inner Rim;O-9
Bromlarch;Vish;Mid Rim;O-16
Calgon;Meridian;Outer Rim Territories;R-7
Bronsoon;Gordian Reach;Outer Rim Territories;P-6
Caliban;Savareen;Outer Rim Territories;Q-17
Bront;Svivreni;Outer Rim Territories;O-19
Calior;Seitia;Outer Rim Territories;K-20
Brosi;Corporate Sector;Outer Rim Territories;S-3
Calipsa;Tapani;Colonies;L-13
Brunet;Prefsbelt;Outer Rim Territories;J-5
Calladus;Ojoster;Outer Rim Territories;N-7
Bruvia;Harron Marches;Expansion Region;P-11
Calline;Dail;Outer Rim Territories;Q-18
Bryexx;Varvenna;Colonies;M-13
Callonia;Fakir;Colonies;K-9
Bryndar;Dalicron;Outer Rim Territories;K-19
Callos;Brema;Outer Rim Territories;M-17
Brynnaria;;Inner Rim;O-9
Calonica;Vensensor;Expansion Region;K-16
Bryx;Bryx;Mid Rim;R-8
Caloria;Tapani;Colonies;L-13
Bseto;Msst;Mid Rim;P-7
Caltinia;Senex;Mid Rim;L-17
Caltrop Belt;Elrood;Outer Rim Territories;M-20
Carratos;;Inner Rim;K-8
Calumdarian;Immalia;Expansion Region;K-8
Carreras;Atravis;Outer Rim Territories;L-19
Calus;;Inner Rim;L-15
Carrivar;;Unknown Regions;G-9
Caluula;Tion Hegemony;Outer Rim Territories;T-6
Carruthia;D'Astan;Outer Rim Territories;O-6
Camaria;Tarabba;Outer Rim Territories;M-19
Carsanza;Juvex;Mid Rim;L-17
Camblia;;Colonies;L-13
Cartao;Prackla;Expansion Region;O-8
Cambria;;Deep Core;L-10
Carto;Surron;Expansion Region;O-13
Camden;Morshdine;Outer Rim Territories;O-5
Cartusio;;Core Worlds;J-12
Camen;Tamarin;Outer Rim Territories;N-18
Carvandir;Carvandir;Expansion Region;J-7
Camson;Abrion;Outer Rim Territories;S-15
Carz;Svivreni;Outer Rim Territories;O-20
Camus;Illisurevimurasi;Outer Rim Territories;Q-4
Casfield;Tennuutta;Mid Rim;Q-7
Canastra;;Core Worlds;K-10
Caska;;Inner Rim;N-14
Candoria;;Colonies;J-13
Cassander;Cassander;Outer Rim Territories;K-5
Candovant;;Colonies;N-12
Cassidode;Aparo;Outer Rim Territories;R-3
Canoliss;Sluis;Outer Rim Territories;M-19
Castell;;Colonies;M-9
Canti;Tapani;Colonies;L-13
Castilon;Tashtor;Mid Rim;I-16
Cantonica;Corporate Sector;Outer Rim Territories;S-4
Cataalda;Onatos;Mid Rim;R-15
Cantras Gola;Perinn;Outer Rim Territories;J-4
Cataract of Moons;Tungra (Fand);Outer Rim Territories;K-18
Cantros;Saijo;Outer Rim Territories;J-20
Cathar;Quelii;Outer Rim Territories;N-6
Canyon;Montitian Grant;Expansion Region;J-15
Cathis;Jjannex;Outer Rim Territories;K-19
Capella;Gordian Reach;Outer Rim Territories;Q-6
Catlia;Chiss Space*;Unknown Regions;G-8
Caphexdis;Homon;Mid Rim;M-7
Cato Neimoidia;Quellor;Colonies;N-11
Caprioril;Dolomar;Core Worlds;K-9
Cattamascar;Bakura;Outer Rim Territories;G-16
Capza;Velcar;Outer Rim Territories;K-4
Caulbon;;Inner Rim;L-14
Caraad;;Colonies;L-8
Cauldron Nebula;Corva;Outer Rim Territories;P-3
Caragon-Viner;;Colonies;N-12
Caulus Tertius;;Inner Rim;M-8
Carajam;Dalonbian;Outer Rim Territories;M-3
Cauper;Tapani;Colonies;L-13
Caramm;Talcene;Mid Rim;R-8
Caursito;;Colonies;K-8
Caranthanax;Wazta;Outer Rim Territories;J-18
Cavaell;Emmo;Core Worlds;M-12
Caraxl;Cassander;Outer Rim Territories;K-5
Cavamina;Doldur;Mid Rim;P-15
Carbos;Roche;Mid Rim;Q-8
Caviness;Charra;Expansion Region;P-14
Carburo;Itopol;Expansion Region;K-15
Cedonne;Dononter;Mid Rim;I-16
Carcel;Locris;Expansion Region;O-8
Cedre;Quelii;Outer Rim Territories;O-6
Carconth;;Core Worlds;M-11
Cedrell;Emmo;Core Worlds;M-12
Cardekkia;Corellian;Core Worlds;M-11
Cegul;Cegul;Outer Rim Territories;M-20
Cardellia;Ojoster;Outer Rim Territories;N-7
Ceiran;;Inner Rim;N-14
Cardo Minor;Meerian;Outer Rim Territories;O-6
Ceitia;Bryx;Mid Rim;R-8
Cardogia;Tashtor;Mid Rim;J-16
Cejansij;Halla;Mid Rim;R-9
Cardooine;Jospro;Outer Rim Territories;R-7
Cel Amiin;Cantons of Lahag;Expansion Region;J-15
Cardovyte;Oricho;Outer Rim Territories;M-6
Celanon;D'Astan;Outer Rim Territories;O-6
Cardua;;Core Worlds;L-10
Celdaru;;Wild Space;I-8
Carest;;Inner Rim;N-8
Celegia;Noori;Expansion Region;O-10
Cargamalis;Bruanii;Mid Rim;K-18
Celen;Elochar;Mid Rim;R-9
Carida;;Colonies;M-9
Celes;Herdessa;Mid Rim;Q-16
Carlac;Prefsbelt;Outer Rim Territories;K-5
Celestial Wake, The;Kriz;Outer Rim Territories;K-19
Carlania;Hapes Cluster;Inner Rim;O-9
Celsor;Hook Nebula;Outer Rim Territories;O-17
Carlem;;Core Worlds;L-10
Celwis;;Unknown Regions;F-8
Carlix's Folly;Tharin;Outer Rim Territories;S-8
Centares;Maldrood;Mid Rim;R-7
Carmeen;Altier;Expansion Region;O-13
Centori;Iskin;Mid Rim;O-16
Carnelion;;Wild Space;J-5
Cerberon;;Deep Core;L-10
Carnovia;;Hutt Space;S-12
Cerea;Semagi;Mid Rim;I-16
Carnth;M'shinni;Mid Rim;M-7
Cerenia;Mbandamonte;Expansion Region;N-15
Carosi;Nembus;Outer Rim Territories;P-4
Cerifisis;Varada;Outer Rim Territories;I-19
Carpagia;;Colonies;L-9
Cerilia;Xappyh;Outer Rim Territories;Q-3
Carpastor;Rolion;Outer Rim Territories;Q-7
Ceriun;Nuiri;Outer Rim Territories;Q-6
Carrandar Secundus;Portmoak;Outer Rim Territories;P-18
Cermau;Bakura;Outer Rim Territories;H-16
Cerosha;Jospro;Outer Rim Territories;R-7
Chelloa;Grumani;Outer Rim Territories;M-17
Cerroban;Bon'nyuw-Luq;Outer Rim Territories;N-18
Chemvau;;Colonies;M-13
CeSai;Illisurevimurasi;Outer Rim Territories;Q-4
Chenley Prime;Savareen;Outer Rim Territories;Q-17
Cesya;Tapani;Colonies;L-13
Chennis;Greater Plooriod;Expansion Region;M-7
Ceti 597;Hollan;Mid Rim;M-7
Chenowei;Gordian Reach;Outer Rim Territories;Q-5
Cezith;Clacis;Outer Rim Territories;K-4
Cheravh;Mandalore;Outer Rim Territories;O-7
Ch'hodos;Esstran (Sith Worlds);Outer Rim Territories;R-4
Cherridan;Belnar;Colonies;M-9
Ch'manss;Var Hagen;Mid Rim;M-17
Cheruba;Hapes Cluster;Inner Rim;O-9
Ch'zimi'kho;Zeemacht Cluster;Inner Rim;N-8
Chespea;Rayter (Berenge);Outer Rim Territories;J-19
Chaaktil;;Inner Rim;N-14
Chestrashus;;Wild Space;Q-3
Chaastern;Shelsha;Colonies;M-9
Chibbier;Stensen;Outer Rim Territories;I-17
Chabosh;Lahara;Outer Rim Territories;M-5
Chibias;Sombure;Mid Rim;K-17
Chad;Jospro;Outer Rim Territories;R-7
Chiloon Rift;;Wild Space;O-3
Chadawa;Croynar;Inner Rim;N-14
Chiron;Ash Worlds;Outer Rim Territories;T-7
Chagar;Khuiumin;Outer Rim Territories;O-19
Chirrion;Rolion;Outer Rim Territories;Q-6
Chagaria;Danjar;Outer Rim Territories;N-18
Choah;Mortex;Outer Rim Territories;S-5
Chal Hudda;Garis;Outer Rim Territories;N-17
Choi;;Inner Rim;M-13
Chalacta;Metatessu;Mid Rim;R-10
Chokan;Maerdocian;Mid Rim;Q-13
Chalcedon;Tashtor;Mid Rim;I-16
Chol Nebula;;Outer Rim Territories;T-5
Challon;;Core Worlds;L-9
Cholganna;;Outer Rim Territories;T-5
Chamble;Mytaranor;Mid Rim;Q-10
Chommell Minor;Chommell;Mid Rim;O-17
Chamm;;Core Worlds;M-12
Chonsetta;Metatessu;Mid Rim;R-9
Champala;;Inner Rim;L-8
Chorax;Rachuk;Colonies;N-11
Champat;;Core Worlds;M-12
Chorgad;Fei Hu;Mid Rim;Q-13
Chanceuxi;Kanz;Outer Rim Territories;N-4
Chorin;;Inner Rim;N-14
Chandaar;Cronese Mandate;Outer Rim Territories;S-6
Chorra;Bamula;Inner Rim;J-13
Chandar's Folly;Saijo;Outer Rim Territories;J-20
Chortose;Rseik;Outer Rim Territories;N-20
Chandel;Ojoster;Outer Rim Territories;N-6
Chosper;Hapes Cluster;Inner Rim;O-9
Chandrila;Bormea;Core Worlds;L-9
Choss;;Colonies;J-13
Changa;Tolonda;Outer Rim Territories;Q-18
Chrellis;Lahara;Outer Rim Territories;M-5
Chankin;Jidlor Marches;Mid Rim;I-16
Chrelythiumn;;Wild Space;K-2
Chanosant;Harron;Expansion Region;O-11
Chrenthoan Abyss;Chrenthoa;Inner Rim;J-14
Charbodia;;Inner Rim;N-9
Christophsis;Savareen;Outer Rim Territories;Q-16
Chardaan;;Inner Rim;N-14
Chroma Zed;Maerdocian;Mid Rim;Q-12
Chardis;Trilon;Outer Rim Territories;H-16
Chroman;D'Aelgoth;Mid Rim;K-17
Charenthoth;;Colonies;N-9
Chrome Citadel;Harron;Expansion Region;O-11
Chargona;Citlik;Expansion Region;O-15
Chromovon;Nembus;Outer Rim Territories;P-4
Charis;Kathol;Outer Rim Territories;M-21
Chrona;;Inner Rim;O-8
Charissia;Bartahn;Inner Rim;L-15
Chryya;Dustig;Mid Rim;M-17
Charmath;Farrfin;Core Worlds;K-9
Chundu;Cegul;Outer Rim Territories;L-20
Charra;Charra;Expansion Region;P-14
Churr;Quellor;Colonies;N-12
Charros;Numesira;Mid Rim;R-9
Churruma;Velcar;Outer Rim Territories;J-5
Charubah;Hapes Cluster;Inner Rim;O-9
Chuzalla;Tammuz;Outer Rim Territories;T-14
Chashima;Auril;Outer Rim Territories;S-6
Chyron;Har Worlds;Expansion Region;J-16
Chasidron Shoals;Bortele;Mid Rim;R-8
Cianap;Piryn Shar;Expansion Region;K-16
Chasin;;Core Worlds;M-12
Ciaox Verith;Croynar;Inner Rim;M-14
Chasmeene;;Inner Rim;O-10
Cificap;Herdessa;Mid Rim;Q-16
Chateuse;Tungra;Outer Rim Territories;K-19
Cilare;Veragi;Outer Rim Territories;K-3
Chaykin;Chaykin;Expansion Region;O-14
Cilpar;;Colonies;L-13
Chazwa;Orus;Inner Rim;N-8
Cimarosa;Irnaj;Mid Rim;K-17
Cheedoa;;Colonies;M-12
Cinnabar;Corellian;Core Worlds;M-11
Cheelit;Semagi;Mid Rim;I-16
Cioral;Chiss Space*;Unknown Regions;F-8
Cheeyoom Matee;;Core Worlds;K-9
Cioran;;Core Worlds;L-12
Chekria;Shelsha;Colonies;M-9
Ciratu;Immerian Outback;Expansion Region;N-14
Cheku;Brevost;Expansion Region;O-15
Circarpous;Circarpous;Expansion Region;O-12
Chelleya;Seswenna;Outer Rim Territories;M-18
Circumtore;;Hutt Space;S-12
Cirilia;Lannik Space;Mid Rim;R-13
Corbett Cluster;Corbett;Mid Rim;I-17
Cirra;Brak;Expansion Region;O-14
Corbos;Esstran;Outer Rim Territories;Q-5
Cirrus;Dantus;Outer Rim Territories;J-6
Cordes;;Inner Rim;N-9
Cirtappa;Alui;Mid Rim;O-17
Cordota;Lantillian;Mid Rim;P-8
Cirus;Arkanis;Outer Rim Territories;R-17
Corellia;Corellian;Core Worlds;M-11
Citlik;Citlik;Expansion Region;O-14
Corfai;Corellian;Core Worlds;M-11
Ciutric;Ciutric;Outer Rim Territories;N-5
Corg;;Wild Space;O-20
Clabron;;Core Worlds;K-13
Coriallis;;Core Worlds;K-9
Claer;Sern;Colonies;L-13
Corips;;Inner Rim;N-14
Clak'dor;Mayagil;Outer Rim Territories;M-18
Corjain;Kathol;Outer Rim Territories;M-21
Clantaano;Albanin;Outer Rim Territories;U-12
Corlaasi;Minos Cluster;Outer Rim Territories;M-20
Clar, The;;Wild Space;I-20
Corlass;Cronese Mandate;Outer Rim Territories;S-6
Clariv;Tion Hegemony;Outer Rim Territories;S-6
Corlax;Allied Tion;Outer Rim Territories;S-6
Clear View;;Wild Space;U-13
Corlus;Woostri;Expansion Region;M-16
Clendor;;Inner Rim;O-8
Cormit;Chiss Space*;Unknown Regions;F-8
Clerion;Palamut;Expansion Region;N-13
Cornesia;Manda;Mid Rim;R-14
Cloak of the Sith, The;Abrion;Outer Rim Territories;S-15
Coronar;;Colonies;L-9
Clyne;Corellian;Core Worlds;M-11
Corosi;Corosi;Outer Rim Territories;N-6
Clysm;D'Astan;Outer Rim Territories;O-5
Corphelion;Corpheli;Expansion Region;M-7
Cmaoli Di;Brema;Outer Rim Territories;M-17
Corrdair;Hevvrol;Mid Rim;O-15
Coachelle;Terr'skiar;Mid Rim;P-10
Corrida;Corridan;Core Worlds;J-10
Cobal;;Core Worlds;K-13
Corroth;;Colonies;N-9
Codia;;Mid Rim;H-15
Corsin;Greater Plooriod;Expansion Region;M-7
Cog Hive Seven;Tharin;Outer Rim Territories;S-8
Corson Prime;Tharin (Periphery);Outer Rim Territories;S-8
Cole-Haddon;Dalonbian;Outer Rim Territories;M-3
Corstris;Quelii;Outer Rim Territories;O-6
Colla;;Inner Rim;N-9
Cortella;;Core Worlds;K-9
Collus;Thuldin's Grant;Expansion Region;J-15
Corthenia;Corthenia;Mid Rim;K-7
Colonial Station Camco;Chiss Space*;Unknown Regions;F-8
Cortilium Major;Eucer;Mid Rim;Q-7
Colonial Station Chaf;Chiss Space*;Unknown Regions;F-9
Cortina;;Core Worlds;K-12
Cols;Kastolar;Mid Rim;Q-10
Corulag;Bormea;Core Worlds;L-9
Colsassa;Jospro;Outer Rim Territories;R-7
Corus;Wyl;Outer Rim Territories;S-4
Columex;Vorzyd;Outer Rim Territories;R-6
Coruscant;Corusca (Coruscant);Core Worlds;L-9
Columus;;Core Worlds;M-11
Coruschal;;Core Worlds;K-10
Colunda Prime;Phelleem (Colunda);Outer Rim Territories;S-7
Coruscul;;Core Worlds;L-10
Comantira;Atravis;Outer Rim Territories;L-19
Corutarn;;Core Worlds;M-10
Cometwash, The;Gordian Reach;Outer Rim Territories;Q-6
Corva;Corva;Outer Rim Territories;P-4
Comkin;;Inner Rim;N-7
Corva Yag;Rseik;Outer Rim Territories;N-20
Commenor;;Colonies;N-10
Corvanni;Neshig;Inner Rim;N-9
Comra;Prefsbelt;Outer Rim Territories;J-5
Corvis Minor;Ciutric;Outer Rim Territories;N-5
Cona;Inner Cluster;Inner Rim;O-11
Corvus;Cronese Mandate;Outer Rim Territories;S-6
Concord Dawn;Mandalore;Outer Rim Territories;O-7
Corweillia;Corweillian;Mid Rim;P-15
Condular;;Core Worlds;M-12
Cosia;;Deep Core;M-11
Conjenus;Vish;Mid Rim;N-16
Cosmatanic Steppes;Grohl;Outer Rim Territories;R-16
Constancia;;Deep Core;K-12
Cotellier;Rseik;Outer Rim Territories;N-20
Contruum;Truum;Mid Rim;O-8
Coth Fuuras;Deadalis;Expansion Region;J-8
Coonee;Brevost;Expansion Region;O-15
Coto-Xana;;Colonies;L-9
Coorimbus;Tapani;Colonies;L-13
Council;Javin (Anoat);Outer Rim Territories;K-18
Copero;Chiss Space*;Unknown Regions;F-9
Couronne;Couronne;Expansion Region;P-10
Cophrigin;Ash Worlds;Outer Rim Territories;T-7
Cousault;Semagi;Mid Rim;I-16
Copperline;Vatha;Expansion Region;K-16
Coveway;Koradin;Outer Rim Territories;I-18
Copul;Pallis;Inner Rim;N-14
Cowl Crucible;Oricho;Outer Rim Territories;M-5
Cor I;Tapani;Colonies;L-13
Coxixia;;Core Worlds;M-12
Cor II;Tapani;Colonies;L-13
Coyerti;Bortele;Mid Rim;S-8
Cor III;Tapani;Colonies;L-13
Coyn;Elrood;Outer Rim Territories;M-20
Corann;;Core Worlds;M-9
Craci;Corporate Sector;Outer Rim Territories;R-4
Corbantis;Chaykin;Expansion Region;O-14
Crait;Bon'nyuw-Luq;Outer Rim Territories;N-17
Crakull;;Unknown Regions;G-10
CZ-198;;Unknown Regions;H-5
Cranan;Arkanis;Outer Rim Territories;R-16
Czerialus;Kailion;Expansion Region;O-13
Crandel;;Wild Space;U-11
D'Anjon Nebula;Arkanis;Outer Rim Territories;R-16
Crash's Drift;Corellian;Core Worlds;M-11
D'Assem;Greater Plooriod;Expansion Region;M-7
Credaan;;Inner Rim;M-14
D'faria;Hune;Mid Rim;Q-12
Crella;Tapani;Colonies;L-13
D'ian;Corporate Sector;Outer Rim Territories;S-3
Cridark;Baroli;Expansion Region;N-15
D'janis;Halm;Mid Rim;J-16
Criigo;Ash Worlds;Outer Rim Territories;T-7
D'Nile;Hertae;Mid Rim;Q-14
Crintlia;Outer Jalor;Mid Rim;I-7
D'Qar;Sanbra;Outer Rim Territories;O-17
Crispin;;Wild Space;S-3
D'rinba;Sombure;Mid Rim;K-17
Critoki;Esstran;Outer Rim Territories;Q-4
Da-Vlunn;;Hutt Space;R-11
Criton's Point;Myto;Outer Rim Territories;K-3
Daalang;Daalang;Mid Rim;Q-12
